Contador	Anterior	Actual	Intervalo	X_gyr	Y_gyr	Z_gyr
949;	79433;	79514;	81;	3.31;	0.56;	227.75
950;	79514;	79615;	101;	6.69;	-2.94;	280.56
951;	79615;	79713;	98;	-11.75;	3.19;	284.31
952;	79713;	79793;	80;	7.25;	-0.56;	249.37
953;	79793;	79871;	78;	8.25;	-2.25;	189.69
954;	79871;	79949;	78;	-1.56;	-1.81;	156.00
955;	79949;	80027;	78;	-2.50;	0.88;	74.19
956;	80027;	80107;	80;	2.44;	-0.19;	-3.50
957;	80107;	80185;	78;	0.31;	-0.06;	-0.25
958;	80185;	80265;	80;	0.19;	0.19;	-0.19
959;	80265;	80344;	79;	-0.37;	-0.19;	-3.12
960;	80344;	80422;	78;	0.31;	0.06;	-0.13
961;	80422;	80500;	78;	0.19;	0.13;	0.06
962;	80500;	80618;	118;	0.25;	0.13;	-0.06
963;	80618;	80698;	80;	0.19;	0.19;	0.00
964;	80698;	80776;	78;	0.19;	0.00;	0.00
965;	80776;	80854;	78;	0.19;	0.00;	-0.06
966;	80854;	80932;	78;	0.25;	-0.06;	0.06
967;	80932;	81039;	107;	0.13;	0.13;	0.00
968;	81039;	81120;	81;	0.13;	0.00;	-0.06
969;	81120;	81200;	80;	0.00;	0.00;	0.00
970;	81200;	81278;	78;	0.06;	0.00;	-0.13
971;	81278;	81357;	79;	0.00;	0.06;	0.00
972;	81357;	81435;	78;	-0.06;	-0.06;	0.00
973;	81435;	81513;	78;	0.06;	-0.13;	0.06
974;	81513;	81600;	87;	0.06;	0.00;	0.00
975;	81600;	81677;	77;	0.00;	-0.06;	0.00
976;	81677;	81755;	78;	0.00;	0.00;	-0.06
977;	81755;	81833;	78;	0.00;	-0.19;	0.13
978;	81833;	81913;	80;	-0.06;	-0.06;	-0.06
979;	81913;	81993;	80;	0.00;	0.00;	-0.06
980;	81993;	82073;	80;	0.00;	0.00;	0.00
981;	82073;	82153;	80;	0.06;	0.00;	0.06
982;	82153;	82231;	78;	0.00;	-0.06;	-0.13
983;	82231;	82310;	79;	0.00;	0.13;	-0.06
984;	82310;	82416;	106;	0.13;	0.00;	0.00
985;	82416;	82495;	79;	0.06;	0.00;	0.00
986;	82495;	82583;	88;	-0.19;	0.00;	0.06
987;	82583;	82663;	80;	0.13;	-0.13;	-0.06
988;	82663;	82743;	80;	0.06;	0.06;	-0.19
989;	82743;	82823;	80;	0.06;	-0.06;	0.00
990;	82823;	82903;	80;	-0.06;	-0.13;	0.00
991;	82903;	82980;	77;	0.13;	-0.13;	0.00
992;	82980;	83058;	78;	-0.06;	-0.06;	0.06
993;	83058;	83137;	79;	0.00;	0.06;	0.06
994;	83137;	83217;	80;	-0.06;	0.00;	-0.13
995;	83217;	83297;	80;	-0.06;	0.00;	-0.13
996;	83297;	83377;	80;	0.06;	0.00;	0.00
997;	83377;	83457;	80;	-0.06;	-0.06;	-0.06
998;	83457;	83556;	99;	-0.06;	0.00;	-0.13
999;	83556;	83633;	77;	0.00;	0.06;	-0.06
1000;	83633;	83728;	95;	0.06;	0.00;	0.13
1001;	83728;	83819;	91;	-0.06;	0.13;	-0.06
1002;	83819;	83899;	80;	0.00;	0.00;	-0.06
1003;	83899;	83979;	80;	0.00;	0.00;	0.00
1004;	83979;	84059;	80;	-0.06;	0.00;	0.00
1005;	84059;	84137;	78;	0.00;	0.00;	0.06
1006;	84137;	84216;	79;	0.13;	-0.06;	0.00
1007;	84216;	84293;	77;	0.00;	-0.06;	0.00
1008;	84293;	84372;	79;	0.06;	0.00;	-0.06
1009;	84372;	84451;	79;	-0.06;	0.06;	0.06
1010;	84451;	84539;	88;	-0.06;	0.13;	-0.13
1011;	84539;	84619;	80;	0.00;	-0.06;	-0.13
1012;	84619;	84698;	79;	0.06;	-0.06;	0.06
1013;	84698;	84776;	78;	0.00;	-0.13;	0.00
1014;	84776;	84854;	78;	0.06;	-0.19;	-0.06
1015;	84854;	84933;	79;	0.00;	-0.25;	-0.13
1016;	84933;	85013;	80;	-0.06;	-0.06;	-0.06
1017;	85013;	85110;	97;	0.06;	-0.06;	0.00
1018;	85110;	85214;	104;	0.00;	0.00;	0.00
1019;	85214;	85293;	79;	-0.06;	0.06;	0.06
1020;	85293;	85373;	80;	0.06;	0.00;	0.13
1021;	85373;	85454;	81;	-0.06;	0.06;	-0.06
1022;	85454;	85543;	89;	0.00;	0.00;	0.06
1023;	85543;	85624;	81;	0.00;	0.19;	-0.13
1024;	85624;	85704;	80;	0.13;	0.06;	-0.13
1025;	85704;	85785;	81;	0.00;	-0.13;	-0.06
1026;	85785;	85865;	80;	0.00;	-0.06;	0.00
1027;	85865;	85943;	78;	0.06;	0.00;	-0.13
1028;	85943;	86022;	79;	0.00;	0.00;	0.00
1029;	86022;	86100;	78;	-0.06;	0.06;	0.00
1030;	86100;	86178;	78;	-0.13;	0.00;	0.06
1031;	86178;	86257;	79;	0.00;	0.00;	-0.13
1032;	86257;	86337;	80;	-0.06;	-0.06;	0.00
1033;	86337;	86435;	98;	-0.13;	0.19;	-0.06
1034;	86435;	86523;	88;	0.00;	-0.06;	0.00
1035;	86523;	86611;	88;	0.00;	0.06;	-0.06
1036;	86611;	86690;	79;	0.06;	-0.06;	-0.13
1037;	86690;	86769;	79;	0.06;	-0.06;	0.06
1038;	86769;	86848;	79;	0.13;	-0.13;	-0.13
1039;	86848;	86928;	80;	0.13;	-0.13;	0.00
1040;	86928;	87008;	80;	0.06;	-0.06;	0.06
1041;	87008;	87089;	81;	0.00;	-0.06;	0.06
1042;	87089;	87169;	80;	0.00;	0.00;	-0.06
1043;	87169;	87247;	78;	-0.06;	-0.13;	-0.06
1044;	87247;	87326;	79;	0.00;	-0.06;	0.06
1045;	87326;	87404;	78;	0.06;	-0.13;	0.00
1046;	87404;	87490;	86;	-0.06;	-0.06;	-0.13
1047;	87490;	87571;	81;	-0.13;	0.00;	-0.06
1048;	87571;	87649;	78;	0.06;	0.00;	-0.06
1049;	87649;	87729;	80;	-0.06;	0.00;	0.00
1050;	87729;	87825;	96;	0.06;	0.13;	-0.06
1051;	87825;	87904;	79;	0.00;	-0.13;	0.00
1052;	87904;	87983;	79;	0.06;	-0.13;	-0.06
1053;	87983;	88074;	91;	0.00;	0.00;	0.00
1054;	88074;	88153;	79;	0.13;	-0.06;	0.13
1055;	88153;	88233;	80;	-0.06;	0.06;	0.06
1056;	88233;	88313;	80;	-0.06;	0.00;	0.06
1057;	88313;	88394;	81;	-0.13;	0.06;	0.00
1058;	88394;	88482;	88;	0.00;	0.13;	0.06
1059;	88482;	88562;	80;	0.00;	0.13;	0.13
1060;	88562;	88641;	79;	0.00;	0.06;	0.13
1061;	88641;	88719;	78;	0.00;	0.06;	0.06
1062;	88719;	88797;	78;	-0.06;	0.06;	0.00
1063;	88797;	88876;	79;	0.06;	-0.06;	0.06
1064;	88876;	88955;	79;	-0.13;	0.00;	-0.06
1065;	88955;	89035;	80;	-0.13;	0.00;	0.00
1066;	89035;	89134;	99;	0.00;	0.06;	0.00
1067;	89134;	89213;	79;	0.06;	-0.13;	-0.06
1068;	89213;	89291;	78;	-0.06;	-0.13;	0.06
1069;	89291;	89369;	78;	0.06;	0.06;	-0.13
1070;	89369;	89456;	87;	0.00;	0.06;	0.00
1071;	89456;	89537;	81;	-0.19;	0.06;	-0.06
1072;	89537;	89617;	80;	0.06;	-0.13;	0.00
1073;	89617;	89698;	81;	-0.06;	0.06;	0.06
1074;	89698;	89778;	80;	0.00;	-0.13;	0.13
1075;	89778;	89856;	78;	-0.13;	-0.06;	0.06
1076;	89856;	89935;	79;	0.06;	-0.13;	0.06
1077;	89935;	90012;	77;	-0.06;	0.06;	0.00
1078;	90012;	90091;	79;	0.13;	0.00;	0.06
1079;	90091;	90170;	79;	0.06;	0.00;	0.00
1080;	90170;	90250;	80;	-0.06;	0.00;	0.06
1081;	90250;	90338;	88;	0.13;	-0.06;	-0.13
1082;	90338;	90417;	79;	0.00;	0.06;	-0.06
1083;	90417;	90513;	96;	0.13;	0.13;	0.00
1084;	90513;	90592;	79;	0.00;	-0.06;	0.00
1085;	90592;	90672;	80;	0.06;	0.00;	0.00
1086;	90672;	90752;	80;	0.06;	-0.13;	-0.06
1087;	90752;	90832;	80;	-0.06;	-0.06;	-0.06
1088;	90832;	90922;	90;	0.00;	0.19;	0.13
1089;	90922;	91002;	80;	0.06;	-0.19;	-0.06
1090;	91002;	91082;	80;	0.06;	0.13;	-0.06
1091;	91082;	91159;	77;	0.00;	-0.06;	0.00
1092;	91159;	91236;	77;	-0.06;	-0.06;	0.00
1093;	91236;	91323;	87;	0.00;	-0.06;	-0.13
1094;	91323;	91403;	80;	0.06;	-0.13;	-0.06
1095;	91403;	91484;	81;	0.00;	0.00;	-0.06
1096;	91484;	91562;	78;	-0.06;	-0.06;	0.00
1097;	91562;	91641;	79;	-0.06;	-0.06;	-0.06
1098;	91641;	91719;	78;	0.00;	0.19;	-0.13
1099;	91719;	91797;	78;	0.00;	0.13;	0.13
1100;	91797;	91893;	96;	-0.13;	-0.06;	0.06
1101;	91893;	91973;	80;	0.00;	0.00;	0.00
1102;	91973;	92052;	79;	0.06;	0.19;	-0.13
1103;	92052;	92130;	78;	-0.06;	0.13;	-0.19
1104;	92130;	92208;	78;	0.06;	0.00;	0.06
1105;	92208;	92307;	99;	-0.13;	-0.13;	0.06
1106;	92307;	92387;	80;	-0.06;	0.00;	0.00
1107;	92387;	92465;	78;	-0.06;	-0.06;	0.06
1108;	92465;	92545;	80;	0.00;	-0.06;	0.00
1109;	92545;	92623;	78;	0.13;	0.06;	0.00
1110;	92623;	92701;	78;	0.00;	0.06;	0.00
1111;	92701;	92780;	79;	-0.06;	0.19;	0.00
1112;	92780;	92860;	80;	-0.06;	0.25;	0.00
1113;	92860;	92940;	80;	0.06;	0.13;	0.00
1114;	92940;	93019;	79;	-0.13;	0.13;	-0.06
1115;	93019;	93099;	80;	-0.06;	0.19;	-0.06
1116;	93099;	93197;	98;	0.06;	0.13;	-0.13
1117;	93197;	93284;	87;	0.06;	0.00;	0.06
1118;	93284;	93362;	78;	0.00;	0.06;	-0.06
1119;	93362;	93442;	80;	0.00;	0.13;	-0.06
1120;	93442;	93521;	79;	-0.06;	0.00;	0.00
1121;	93521;	93601;	80;	-0.06;	0.13;	-0.06
1122;	93601;	93693;	92;	0.00;	0.00;	0.00
1123;	93693;	93772;	79;	0.06;	0.06;	-0.06
1124;	93772;	93852;	80;	0.00;	0.13;	-0.19
1125;	93852;	93932;	80;	0.00;	0.06;	-0.06
1126;	93932;	94013;	81;	0.06;	0.06;	0.00
1127;	94013;	94093;	80;	-0.06;	-0.06;	-0.06
1128;	94093;	94171;	78;	0.00;	0.06;	0.00
1129;	94171;	94290;	119;	0.06;	-0.06;	-0.13
1130;	94290;	94368;	78;	0.06;	0.00;	-0.06
1131;	94368;	94446;	78;	-0.06;	0.06;	0.06
1132;	94446;	94525;	79;	0.06;	0.19;	0.00
1133;	94525;	94622;	97;	0.06;	-0.06;	0.00
1134;	94622;	94701;	79;	0.00;	-0.13;	0.06
1135;	94701;	94779;	78;	0.13;	0.00;	-0.06
1136;	94779;	94857;	78;	0.06;	0.00;	-0.13
1137;	94857;	94936;	79;	0.13;	0.00;	-0.06
1138;	94936;	95016;	80;	0.06;	0.06;	0.00
1139;	95016;	95096;	80;	0.00;	-0.06;	0.00
1140;	95096;	95185;	89;	-0.06;	0.00;	-0.13
1141;	95185;	95273;	88;	0.00;	0.06;	0.06
1142;	95273;	95350;	77;	-0.06;	-0.06;	-0.06
1143;	95350;	95429;	79;	-0.19;	0.06;	0.00
1144;	95429;	95508;	79;	0.00;	0.06;	0.00
